intersection,historical_ksi_events,latitude,longitude,division
Ellesmere Rd & Mccowan Rd,6,43.77211011527112,-79.25146132207348,D43
Finch Ave E & Mccowan Rd,6,43.80795494107821,-79.26660947954343,D42
Bathurst St & Dundas St W,5,43.65223919224796,-79.40597988311579,D14
Eglinton Ave W & Scarlett Rd,5,43.68388987223643,-79.51141825535076,D22
Keele St & Lawrence Ave W,5,43.70858616705522,-79.47802429579424,D12
Keele St & Sheppard Ave W,5,43.744703715366335,-79.48640895029743,D31
Kennedy Rd & Lawrence Ave E,5,43.74942604371692,-79.27489888010273,D41
Sheppard Ave W & William R Allen Rd,5,43.75017777465668,-79.46334524192652,D32
Avenue Rd & Bloor St W,4,43.66864618354451,-79.39410086722475,D52
Bathurst St & Lake Shore Blvd W,4,43.63641200805188,-79.39960935115356,D14
College St & Huron St,4,43.6582518516109,-79.39816099371131,D52
Dixon Rd & Martin Grove Rd,4,43.69151933270728,-79.57079789493078,D23
Don Mills Rd & Lawrence Ave E,4,43.73702872857517,-79.34386387668093,D33
Don Mills Rd & Sheppard Ave E,4,43.77503419662391,-79.34700438407906,D33
Dundas St E & Sherbourne St,4,43.65822058470461,-79.3709914026554,D51
Ellesmere Rd & Markham Rd,4,43.776399723115816,-79.23196818814598,D43
Finch Ave E & Markham Rd,4,43.81289876390152,-79.2430384262501,D42
Finch Ave W & Jane St,4,43.75649704553681,-79.51736514522659,D31
